metro,YEAR,Pedestrian,Bicyclist
Sacramento-Roseville-Arden-Arcade MSA,2009,16,4
Sacramento-Roseville-Arden-Arcade MSA,2010,24,10
Sacramento-Roseville-Arden-Arcade MSA,2011,27,5
Sacramento-Roseville-Arden-Arcade MSA,2012,16,7
Sacramento-Roseville-Arden-Arcade MSA,2013,32,6
Sacramento-Roseville-Arden-Arcade MSA,2014,21,5
Sacramento-Roseville-Arden-Arcade MSA,2015,24,6
Sacramento-Roseville-Arden-Arcade MSA,2016,35,12
Sacramento-Roseville-Arden-Arcade MSA,2017,27,13
Sacramento-Roseville-Arden-Arcade MSA,2018,44,12
Sacramento-Roseville-Arden-Arcade MSA,2019,44,5
Sacramento-Roseville-Arden-Arcade MSA,2020,39,2
Salinas MSA,2001,1,
Salinas MSA,2002,3,
Salinas MSA,2003,7,1
Salinas MSA,2004,5,
Salinas MSA,2005,4,1
Salinas MSA,2006,7,1
Salinas MSA,2007,4,
Salinas MSA,2008,3,
Salinas MSA,2009,3,
Salinas MSA,2010,3,
Salinas MSA,2011,3,2
Salinas MSA,2012,1,
Salinas MSA,2013,6,1
Salinas MSA,2014,6,1
Salinas MSA,2015,6,2
Salinas MSA,2016,7,
Salinas MSA,2017,11,
Salinas MSA,2018,6,
Salinas MSA,2019,4,
Salinas MSA,2020,7,
San Diego-Carlsbad MSA,2001,36,4
San Diego-Carlsbad MSA,2002,61,10
San Diego-Carlsbad MSA,2003,50,4
San Diego-Carlsbad MSA,2004,48,8
San Diego-Carlsbad MSA,2005,50,7
San Diego-Carlsbad MSA,2006,49,5
San Diego-Carlsbad MSA,2007,42,6
San Diego-Carlsbad MSA,2008,47,4
San Diego-Carlsbad MSA,2009,43,8
San Diego-Carlsbad MSA,2010,44,6
San Diego-Carlsbad MSA,2011,37,9
San Diego-Carlsbad MSA,2012,48,7
San Diego-Carlsbad MSA,2013,48,5
San Diego-Carlsbad MSA,2014,62,10
San Diego-Carlsbad MSA,2015,69,5
San Diego-Carlsbad MSA,2016,60,4
San Diego-Carlsbad MSA,2017,64,2
San Diego-Carlsbad MSA,2018,75,7
San Diego-Carlsbad MSA,2019,65,7
San Diego-Carlsbad MSA,2020,67,5
San Francisco-Redwood City-South San Francisco MD,2001,6,1
San Francisco-Redwood City-South San Francisco MD,2002,19,2
San Francisco-Redwood City-South San Francisco MD,2003,24,2
San Francisco-Redwood City-South San Francisco MD,2004,20,1
San Francisco-Redwood City-South San Francisco MD,2005,20,2
San Francisco-Redwood City-South San Francisco MD,2006,19,1
San Francisco-Redwood City-South San Francisco MD,2007,24,1
San Francisco-Redwood City-South San Francisco MD,2008,14,2
San Francisco-Redwood City-South San Francisco MD,2009,24,3
San Francisco-Redwood City-South San Francisco MD,2010,14,3
San Francisco-Redwood City-South San Francisco MD,2011,21,2
San Francisco-Redwood City-South San Francisco MD,2012,15,2
San Francisco-Redwood City-South San Francisco MD,2013,23,4
San Francisco-Redwood City-South San Francisco MD,2014,17,3
San Francisco-Redwood City-South San Francisco MD,2015,27,3
San Francisco-Redwood City-South San Francisco MD,2016,19,5
San Francisco-Redwood City-South San Francisco MD,2017,21,3
San Francisco-Redwood City-South San Francisco MD,2018,19,3
San Francisco-Redwood City-South San Francisco MD,2019,22,1
San Francisco-Redwood City-South San Francisco MD,2020,16,1
San Jose MSA,2001,13,6
San Jose MSA,2002,31,4
San Jose MSA,2003,16,1
San Jose MSA,2004,19,4
San Jose MSA,2005,29,4
San Jose MSA,2006,22,1
San Jose MSA,2007,18,3
San Jose MSA,2008,19,5
San Jose MSA,2009,18,3
San Jose MSA,2010,16,3
San Jose MSA,2011,26,3
San Jose MSA,2012,18,3
San Jose MSA,2013,25,5
San Jose MSA,2014,27,4
San Jose MSA,2015,31,11
San Jose MSA,2016,24,5
San Jose MSA,2017,25,5
San Jose MSA,2018,29,7
San Jose MSA,2019,40,6
San Jose MSA,2020,28,6
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2001,1,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2002,1,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2004,4,1
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2005,1,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2006,3,1
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2007,1,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2009,2,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2010,3,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2011,1,1
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2012,1,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2014,1,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2015,1,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2016,1,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2017,,1
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2018,4,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2019,6,
San Luis Obispo-Paso Robles-Arroyo Grande MSA,2020,3,1
San Rafael MD,2001,1,
San Rafael MD,2002,2,
San Rafael MD,2003,,1
San Rafael MD,2005,3,
San Rafael MD,2006,1,
San Rafael MD,2007,2,
San Rafael MD,2008,1,
San Rafael MD,2009,1,
San Rafael MD,2011,1,
San Rafael MD,2012,2,1
San Rafael MD,2013,3,
San Rafael MD,2014,1,
San Rafael MD,2016,3,1
San Rafael MD,2017,1,
San Rafael MD,2018,4,
San Rafael MD,2019,2,1
San Rafael MD,2020,1,
Santa Cruz-Watsonville MSA,2001,3,
Santa Cruz-Watsonville MSA,2002,4,
Santa Cruz-Watsonville MSA,2003,6,
Santa Cruz-Watsonville MSA,2004,3,
Santa Cruz-Watsonville MSA,2005,2,
Santa Cruz-Watsonville MSA,2006,5,
Santa Cruz-Watsonville MSA,2007,2,
Santa Cruz-Watsonville MSA,2008,3,1
Santa Cruz-Watsonville MSA,2009,4,2
Santa Cruz-Watsonville MSA,2010,4,
Santa Cruz-Watsonville MSA,2011,1,
Santa Cruz-Watsonville MSA,2012,1,
Santa Cruz-Watsonville MSA,2013,1,1
Santa Cruz-Watsonville MSA,2014,2,1
Santa Cruz-Watsonville MSA,2015,4,
Santa Cruz-Watsonville MSA,2016,8,
Santa Cruz-Watsonville MSA,2017,3,1
Santa Cruz-Watsonville MSA,2018,9,
Santa Cruz-Watsonville MSA,2019,3,1
Santa Cruz-Watsonville MSA,2020,8,
Santa Maria-Santa Barbara MSA,2001,2,2
Santa Maria-Santa Barbara MSA,2002,2,
Santa Maria-Santa Barbara MSA,2003,5,
Santa Maria-Santa Barbara MSA,2004,3,
Santa Maria-Santa Barbara MSA,2005,12,2
Santa Maria-Santa Barbara MSA,2006,1,3
Santa Maria-Santa Barbara MSA,2007,7,2
Santa Maria-Santa Barbara MSA,2008,2,1
Santa Maria-Santa Barbara MSA,2009,2,
Santa Maria-Santa Barbara MSA,2010,6,
Santa Maria-Santa Barbara MSA,2011,6,
Santa Maria-Santa Barbara MSA,2012,5,3
Santa Maria-Santa Barbara MSA,2013,7,1
Santa Maria-Santa Barbara MSA,2014,1,
Santa Maria-Santa Barbara MSA,2015,5,
Santa Maria-Santa Barbara MSA,2016,1,2
Santa Maria-Santa Barbara MSA,2017,1,1
Santa Maria-Santa Barbara MSA,2018,7,1
Santa Maria-Santa Barbara MSA,2019,5,
Santa Maria-Santa Barbara MSA,2020,2,2
Santa Rosa MSA,2001,3,1
Santa Rosa MSA,2002,3,2
Santa Rosa MSA,2003,3,1
Santa Rosa MSA,2004,2,1
Santa Rosa MSA,2005,4,1
Santa Rosa MSA,2006,5,1
Santa Rosa MSA,2007,2,1
Santa Rosa MSA,2008,3,2
Santa Rosa MSA,2009,5,
Santa Rosa MSA,2010,5,
Santa Rosa MSA,2011,8,1
Santa Rosa MSA,2012,4,1
Santa Rosa MSA,2013,5,1
Santa Rosa MSA,2014,4,
Santa Rosa MSA,2015,5,
Santa Rosa MSA,2016,7,
Santa Rosa MSA,2017,4,
Santa Rosa MSA,2018,4,1
Santa Rosa MSA,2019,4,
Santa Rosa MSA,2020,3,
Stockton-Lodi MSA,2001,4,
Stockton-Lodi MSA,2002,8,2
Stockton-Lodi MSA,2003,6,1
Stockton-Lodi MSA,2004,9,3
Stockton-Lodi MSA,2005,14,1
Stockton-Lodi MSA,2006,8,
Stockton-Lodi MSA,2007,7,2
Stockton-Lodi MSA,2008,12,1
Stockton-Lodi MSA,2009,3,1
Stockton-Lodi MSA,2010,12,4
Stockton-Lodi MSA,2011,7,2
Stockton-Lodi MSA,2012,3,2
Stockton-Lodi MSA,2013,10,3
Stockton-Lodi MSA,2014,6,
Stockton-Lodi MSA,2015,13,2
Stockton-Lodi MSA,2016,10,4
Stockton-Lodi MSA,2017,18,5
Stockton-Lodi MSA,2018,18,9
Stockton-Lodi MSA,2019,22,7
Stockton-Lodi MSA,2020,12,6
Vallejo-Fairfield MSA,2001,3,
Vallejo-Fairfield MSA,2002,3,
Vallejo-Fairfield MSA,2003,3,
Vallejo-Fairfield MSA,2004,3,1
Vallejo-Fairfield MSA,2005,3,
Vallejo-Fairfield MSA,2006,3,
Vallejo-Fairfield MSA,2007,4,
Vallejo-Fairfield MSA,2008,4,
Vallejo-Fairfield MSA,2009,6,
Vallejo-Fairfield MSA,2010,5,1
Vallejo-Fairfield MSA,2011,1,
Vallejo-Fairfield MSA,2012,5,
Vallejo-Fairfield MSA,2013,4,1
Vallejo-Fairfield MSA,2014,6,1
Vallejo-Fairfield MSA,2015,11,3
Vallejo-Fairfield MSA,2016,7,1
Vallejo-Fairfield MSA,2017,3,1
Vallejo-Fairfield MSA,2018,14,
Vallejo-Fairfield MSA,2019,8,2
Vallejo-Fairfield MSA,2020,8,1
Visalia-Porterville MSA,2001,3,
Visalia-Porterville MSA,2002,6,
Visalia-Porterville MSA,2003,5,1
Visalia-Porterville MSA,2004,6,1
Visalia-Porterville MSA,2005,4,1
Visalia-Porterville MSA,2006,7,1
Visalia-Porterville MSA,2007,6,3
Visalia-Porterville MSA,2008,6,
Visalia-Porterville MSA,2009,5,2
Visalia-Porterville MSA,2010,5,1
Visalia-Porterville MSA,2011,4,1
Visalia-Porterville MSA,2012,9,
Visalia-Porterville MSA,2013,6,
Visalia-Porterville MSA,2014,7,2
Visalia-Porterville MSA,2015,9,2
Visalia-Porterville MSA,2016,6,6
Visalia-Porterville MSA,2017,16,3
Visalia-Porterville MSA,2018,5,2
Visalia-Porterville MSA,2019,10,2
Visalia-Porterville MSA,2020,6,2
Winnemucca Micropolitan,2014,1,
Yuba City MSA,2001,,1
Yuba City MSA,2002,1,
Yuba City MSA,2003,2,1
Yuba City MSA,2005,1,1
Yuba City MSA,2006,,3
Yuba City MSA,2007,2,
Yuba City MSA,2008,1,
Yuba City MSA,2009,1,1
Yuba City MSA,2010,2,1
Yuba City MSA,2011,2,
Yuba City MSA,2012,4,2
Yuba City MSA,2013,3,1
Yuba City MSA,2014,3,
Yuba City MSA,2015,1,
Yuba City MSA,2016,1,
Yuba City MSA,2017,4,1
Yuba City MSA,2018,3,2
Yuba City MSA,2019,2,
Yuba City MSA,2020,3,
(blank),2001,88,15
(blank),2002,147,36
(blank),2003,160,23
(blank),2004,163,25
(blank),2005,168,22
(blank),2006,157,35
(blank),2007,140,31
(blank),2008,144,32
(blank),2009,140,30
(blank),2010,124,27
(blank),2011,141,36
(blank),2012,143,30
(blank),2013,157,48
(blank),2014,157,34
(blank),2015,179,42
(blank),2016,185,46
(blank),2017,208,39
(blank),2018,208,41
(blank),2019,233,44
(blank),2020,222,38
